"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"Hougang Plaza","90 Hougang Ave 10, Singapore 538766",1.372469,103.8937803,"5am-5pm: $0.40 for ½ hr","Aft 5pm: $1.50 per entry","Same as wkdays","$1.50 per entry","-"
"Junction 8 Shopping Centre","9 Bishan Pl, Singapore 579837",1.3505524,103.8488353,"12am-5.59pm - $1.07 for 1st hr; $0.32 for sub. 15 mins","Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri/Eve of PH: 6pm-2.59am: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15 mins; 6pm-2.59am: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15 mins; 6pm-11.59pm: $2.14 per entry","-"
"Kampong Bugis Off-Street","Kampong Bugis, Singapore",1.3075391,103.8660948,"Daily: 0700-0700: $0.50 /30 mins (Per Minute Charging)","-","-","-","-"
"Kampong Kapor Road Off-Street","Kampong Kapor Rd, Singapore",1.3079731,103.8547067,"Daily: 0700-0700: $0.50 /30 mins (Per Minute Charging)","-","-","-","-"
"145 Syed Alwi Rd","145 Syed Alwi Rd, Singapore 207704",1.3100895,103.855366,"Daily: 1st hr: Free; $2 for sub. hr","-","-","-","-"
"Nex Mall","23 Serangoon Central, Singapore 556083",1.3507722,103.8722242,"Mon-Fri: $1.30 for 1st hr; $0.65 for sub. ½ hr","-","""Sat, Sun / Ph: $1.40 for 1st hr; $0.70 for sub. ½ hr""","Same as Saturday","-"
"Northpoint Shopping Centre","930 Yishun Ave 2, Singapore 769098",1.4295657,103.8361296,"Daily: $1.20 for 1st hr or part thereof; $0.80 for sub. ½ hr or part thereof.","-","-","-","-"
"Parliament House","1 Parliament Pl, Singapore 178880",1.2891543,103.8504863,"8.01am-6pm: $1.13 per ½ hr (per min basis)","6.01pm-8am: $2.06 per entry","Same as wkdays","$2.06 per entry","-"
"Ramada Hotel","16 Ah Hood Rd, Singapore 329982",1.3270787,103.8465135,"6am-6pm: $1.60 per hr","Aft 6pm: $2.20 per entry","Same as wkdays","Same as wkdays","-"
"Ramada Hotel","16 Ah Hood Rd, Singapore 329982",1.3270787,103.8465135,"6am-6pm: $1.60 per hr","Aft 6pm: $2.20 per entry","Same as wkdays","Same as wkdays","-"
"Rivervale Mall","11 Rivervale Crescent, Singapore 545082",1.3922849,103.9044292,"""Daily: $1.28 for 1st hr, $0.64 for sub. 30 mins or part thereof.""","-","-","-","-"
"Sembawang Shopping Centre","604 Sembawang Road, Singapore 758459",1.4418577,103.825096,"12am-11.59pm: $1.20 for 1st hr; $0.32 for sub. 15 mins","$1.20 for 1st hr; $0.30 for sub. 15 mins","Same as wkdays","Same as wkdays","-"
"Shaw Plaza","354 Balestier Rd, Singapore 329781",1.3249763,103.8515376,"8am-5pm: $1.04 for 1st hr; $0.53 for sub. ½ hr","Aft 5pm: $1.55 per entry","Same as wkdays","Same as wkdays","-"
"Shrewsbury Road Off-Street","Shrewsbury Rd, Singapore",1.3183851,103.8490913,"""Daily, 0700-0700: $0.50 /30 mins (Per Minute Charging)""","-","-","-","-"
"Square 2","10 Sinaran Dr, Singapore 307506",1.3208476,103.8441535,"7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr","Aft 6pm: $2.20 per entry","Same as wkdays","$2.20 for 1st 4hrs; $1.10 for sub. ½ hr; Aft 6pm: $2.20 per entry","-"
"Sun Plaza","30 Sembawang Drive, Singapore 757713",1.4483281,103.819798,"7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr","5pm-11pm: $2.20 per entry; Aft 11pm: $3.30 per entry","Same as wkdays","Same as wkdays","-"
"The Verge","2 Serangoon Rd, Singapore 218227",1.3051926,103.8512183,"7am-5pm: $1.60 per hr","5pm-12am: $2.50 per entry; Aft 12am: $1.30 per hr","Same as wkdays","7am-12am: $2.50 per entry; Aft 12am: $2 per hr","-"
"Thomson Plaza","301 Upper Thomson Rd, #03-30/31 Thomson Plaza, Singapore 574408",1.3547,103.83103,"7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr","7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr","7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr","Same as Saturday","-"
"Toa Payoh HDB Hub","480 Lorong 6 Toa Payoh, Singapore 310480",1.3322562,103.8485391,"7am-6pm: $0.50 per ½ hr","6pm-1am: $1 per entry; Aft 10.30pm: $2 per entry","Same as wkdays","7am-1am: $1 per entry; Aft 10.30pm: $2 per entry","-"
"United Square Shopping Mall","101 Thomson Road, Singapore 307591",1.3171694,103.8435788,"7pm-6pm: $2.20 for 1st hr; $1.10 for sub. hr","Aft 6pm: $2 per entry","7am-6pm: $2.20 for 1st 2hrs; $1.10 for sub. hr; Aft 6pm: $2 per entry","Same as Saturday","-"
"Velocity @ Novena Square","238 Thomson Road, Singapore 307683",1.3196341,103.8434302,"6am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr","Aft 6pm: $2.20 per entry","Same as wkdays","Same as wkdays","-"
"Yishun YS-ONE","1 Yishun Street 23, Singapore 768441",1.4388503,103.8412139,"0700-2230: $0.0167 /min","2230-0700: $0.0167 /min ;(Capped at $4.00)","Same as wkdays","""0700-2230: Free Parking, 2230-0700: $0.0167/min (Capped at $4.00)""","-"
"112 Katong","112 E Coast Rd, Singapore 428802",1.3052458,103.9050356,"6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-5.59pm: $1.07 for 1st hr; $0.27 for sub. 15mins.","6pm-8.59pm:$1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.","6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-8.59pm: $1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.","Same as Saturday","-"
"Bedok Mall","311 New Upper Changi Road, Singapore 467360",1.3241115,103.9287433,"""Daily: 12-11.59pm: $1.50 for 1st hr, $0.40 for sub. 15 mins""","-","-","-","-"
"Bedok Point","799 New Upper Changi Rd, Singapore 467351",1.3248989,103.9323721,"$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.","$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.","Same as wkdays","Same as wkdays","-"
"Century Square","2 Tampines Central 5, Singapore 529509",1.3524209,103.9438009,"3.01am-6pm: S$1.07 for 1st hr and S$0.32 every 15 mins or part thereof.","6.01am-3am: $2.14 per entry","3.01am-6pm:S$0.32 every 15 mins or part thereof; 6.01am-3am:$2.14 per entry.","Same as Saturday","-"
"Changi Airport - South Car Park (between T2 and JetQuay)","1 T2 Vip Dr, Singapore 818937",1.3520833,103.9875929,"""$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come, first-served basis)""","$0.035 per min. Capped at $35 per 24hrs.","$0.035 per min. Capped at $35 per 24hrs.","Same as Saturday","-"
"""Changi Airport - T1, T2, T3""","Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"""$0.04 per min      *Based on the per-minute rate of S$0.04, 24 hours of parking will be S$57.60.""","$0.04 per min","$0.04 per min","Same as Saturday","-"
"Changi City Point","5 Changi Business Park Central 1, Singapore 486038",1.334087,103.9628331,"7.01am-6pm: $0.70 per ½ hr or part thereof.","6.01pm-7am: $2.50 per entry","7.01am-5pm: $2.50 for 1st 2hrs or part thereof; $1.20 for sub. ½ hr or part thereof. 5.01pm-7am: $2.50 per entry","Same as Saturday","-"
"Changi Village Hotel","1 Netheravon Rd, Singapore 508502",1.3904599,103.9859887,"8am-6pm: $2 for 1st hr; $1.50 for sub. hr","Aft 6pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"Changi Village Hotel","1 Netheravon Rd, Singapore 508502",1.3904599,103.9859887,"8am-6pm: $2 for 1st hr; $1.50 for sub. hr","Aft 6pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"City Plaza","810 Geylang Road, Singapore 409286",1.3147534,103.8934139,"8am-5pm: $1.10 for 1st hr; $0.70 for sub. ½ hr","5pm-12am: $1.20 per entry; Aft 12am: $2.40 per entry","Same as wkdays","7am-12am: $1.20 per entry; Aft 12am: $2.40 per entry","-"
"D'Resort","1 Pasir Ris Close, Singapore 519599",1.3779727,103.9547071,"""Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).""","""Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).""","""Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $5 per entry. Max/day: $19.""","Same as Saturday","-"
"Downtown East","1 Pasir Ris Cl, Singapore 519599",1.3763833,103.9548579,"""Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).""","""Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.""","""Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.""","Same as Saturday","-"
"East Coast Park E1/E2/E3 Off-Street","SW 19th Ave & SW 2nd St, Battle Ground, WA 98604, USA",45.7789306,-122.5569092,"Daily: 0700-0700: $0.50 /30 Mins (Per Minute Charging)","-","-","-","-"
"Eastpoint Mall","3 Simei Street 6, Singapore 528833",1.3426934,103.953076,"""Daily: $1.20 for 1st hr or part thereof, $0.30 for sub. 15 mins or part thereof.""","-","Same as wkdays","Same as wkdays","-"
"Grand Mecure Roxy Hotel","50 East Coast Road, Roxy Square, Singapore 428769",1.303397,103.9046199,"Daily: $1.60 per hr","-","-","-","-"
"IKEA (Tampines)","60 Tampines North Drive 2, Singapore 528764",1.3743394,103.9319676,"Daily free: 7am-11pm","-","-","-","-"
"Katong Shopping Centre","865 Mountbatten Rd, Singapore 437844",1.3039671,103.9012865,"7am-6pm: $1 per hr","Aft 6pm: $2 per entry","Same as wkdays","$2 per entry","-"
"Katong Village","25 Marine Parade, Singapore 449536",1.303713,103.9029349,"8am-6pm: $2.20 per hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Lifelong Learning Institute","11 Eunos Road 8, Singapore 408601",1.3197616,103.8923139,"6am-5:59pm: $0.90 per ½ hr. Full Day Parking-6am-11:59pm: $16.","6pm-11.59pm: $3.21 per entry; 12am-5.59am: $12 per entry","Same as wkdays","6am-11:59pm: $3.21 per entry; 12am-5.59am: $12 per entry","-"
"Paramount Hotel","25 Marine Parade, Singapore 449536",1.303713,103.9029349,"8am-5pm: $0.60 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"Paramount Hotel","25 Marine Parade, Singapore 449536",1.303713,103.9029349,"8am-5pm: $0.60 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"Parkway Parade","80 Marine Parade Rd, Singapore 449269",1.3019864,103.9047241,"6am-6pm: $1 for 1st hr;  $0.40 for sub. ½ hr","6pm-2am: $1.50 per entry; Aft 2am: $20 per entry","6am-10am: $0.50 for 1st hr; $0.40 for sub.15 mins; 10am-6pm: $1.30 for 1st hr; $0.40 for sub. 15 mins; 6pm-2am: $2.10 per entry. Aft 2am: $20 per entry","Same as Saturday","-"
"Roxy Square","50 East Coast Road, Singapore 428769",1.3042193,103.9042311,"7am-6pm: $1.20 for 1st hr; $1.40 for sub. hr","5pm-12am: $2.50 per entry","Same as wkdays","Same as wkdays","-"
"Singapore Expo","1 Expo Dr, Singapore 486150",1.3335251,103.959537,"Daily: $3.20 for 1st 2hrs; $1.50 for sub. ½ hr (Maximum Daily Charge:$20)","-","Same as wkdays","Same as wkdays","-"
"Singapore Post Centre","100 Upper Cross Street, #B1-17A People's Park Centre, Singapore 058357",1.285697,103.843945,"""7am-5pm: $1.60 for 1st hr, $1.00 for next sub  ½ hr""","""5pm-12am: $3/entry. 12am-7am: $1.60 for 1st hr, $1.00 for next sub ½ hr.""","""7am-1pm: $1.60 for 1st hr, $1 for next sub  ½ hr. 1pm-12am: $3 per entry; 12am-7am $1.60 for 1st hr, $1.00 for next sub ½ hr.""","""7am-12am: $3 per entry; 12am-7am $1.60 for 1st hr, $1.00 for next sub ½ hr .""","-"
"Tampines 1","10 Tampines Central 1, Singapore 529536",1.3542633,103.9450295,"1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins","1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins","1st hr $1.28; 2nd hr $0.60 per ½ hr; Aft 2hrs: $0.45 per 15 mins","Same as Saturday","-"
"Tampines Junction","300 Tampines Ave 5, Singapore 529653",1.3523757,103.9418713,"8am-5pm: $1 for 1st hr; $0.50 for sub. ½ hr","Aft 5pm: $2 per entry","""Charges same as wkdays, but closed after 2pm""","Closed","-"
"Tampines Mall","4 Tampines Central 5, Singapore 529510",1.352614,103.9446926,"12am-5:59pm: $1.07 for 1st hr; $0.32 for sub. 15mins","Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-2.59am: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-11.59am: $2.14 per entry","-"
"Tampines Plaza (Compaq Centre)","5 Tampines Central 1, Singapore 529541",1.3532133,103.9429697,"8am-5pm: $1 per ½ hr","Aft 5pm: $2 per entry","Same as wkdays","$2 per entry","-"
"Telepark","5 Tampines Central 6, Singapore 529482",1.3534646,103.9420973,"Daily: 7am-10pm: $0.70 per ½ hr (An additional surcharge of $22 per exit after 10pm)","-","-","-","-"
"White Sands Shopping Centre","1 Pasir Ris Central Street 3, #01-13, White Sands, Singapore 518457",1.3723439,103.950044,"7am-7pm: $1.20 per hr for 1st 2hrs; $1.20 for sub. ½ hr","Aft 7pm: $2 per entry","Same as wkdays","Same as wkdays","-"
"Amara Hotel","165 Tg Pagar Rd, Singapore 088539",1.2753354,103.8435764,"8am-4.59pm: $2 per ½ hr","5pm-7.59am (the following day) : $3 per entry","Same as wkdays","$3 per entry","-"
"Amara Hotel","165 Tg Pagar Rd, Singapore 088539",1.2753354,103.8435764,"8am-4.59pm: $2 per ½ hr","5pm-7.59am (the following day) : $3 per entry","Same as wkdays","$3 per entry","-"
"Berjaya Hotel","88, Jalan Ibrahim Sultan, Kampung Stulang Laut, 80300 Johor Bahru, Johor, Malaysia",1.470764,103.783233,"8.30am-5pm: $1 per ½ hr","5pm-10pm: $1 per hr; Aft 10pm: Free","Same as wkdays","8.30am-10pm: $1 per hr. Aft 10pm: Free","-"
"Berjaya Hotel","88, Jalan Ibrahim Sultan, Kampung Stulang Laut, 80300 Johor Bahru, Johor, Malaysia",1.470764,103.783233,"8.30am-5pm: $1 per ½ hr","5pm-10pm: $1 per hr; Aft 10pm: Free","Same as wkdays","8.30am-10pm: $1 per hr. Aft 10pm: Free","-"
"Carlton Hotel","76 Bras Basah Road, Singapore 189558",1.2959064,103.8525424,"7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Carlton Hotel","76 Bras Basah Road, Singapore 189558",1.2959064,103.8525424,"7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Changi Village Hotel","1 Netheravon Rd, Singapore 508502",1.3904599,103.9859887,"8am-6pm: $2 for 1st hr; $1.50 for sub. hr","Aft 6pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"Changi Village Hotel","1 Netheravon Rd, Singapore 508502",1.3904599,103.9859887,"8am-6pm: $2 for 1st hr; $1.50 for sub. hr","Aft 6pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"Concorde Hotel","100 Orchard Road, Singapore 238840",1.300525,103.8421646,"7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr","Aft 6pm: $3.75 per entry","Same as wkdays","$3.75 per entry","-"
"Concorde Hotel","100 Orchard Road, Singapore 238840",1.300525,103.8421646,"7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr","Aft 6pm: $3.75 per entry","Same as wkdays","$3.75 per entry","-"
"Conrad Centennial Hotel","2 Temasek Blvd, Singapore 038982",1.2934379,103.8587261,"7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr","Aft 6pm: $2.20 per entry","$2.20 for 1st 2hrs; $1.10 for sub. hr","Same as Saturday","-"
"Copthorne King's Hotel","403 Havelock Rd, Singapore 169632",1.2882482,103.8366477,"7am-12am: $3 for 1st hr; $1.50 for sub ½ hr","Aft 12am: $4 for 1st hr; $2 for sub ½ hr","Same as wkdays","Same as wkdays","-"
"Copthorne King's Hotel","403 Havelock Rd, Singapore 169632",1.2882482,103.8366477,"7am-12am: $3 for 1st hr; $1.50 for sub ½ hr","Aft 12am: $4 for 1st hr; $2 for sub ½ hr","Same as wkdays","Same as wkdays","-"
"Copthorne Orchid Hotel","Jalan Tanjung Bungah, Tanjung Bungah, 11200 George Town, MY, Malaysia",5.467071,100.292311,"""8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)""","Aft 5pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"Copthorne Orchid Hotel","Jalan Tanjung Bungah, Tanjung Bungah, 11200 George Town, MY, Malaysia",5.467071,100.292311,"""8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)""","Aft 5pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"Elizabeth Hotel","24 Mount Elizabeth, Singapore 228518",1.3082343,103.8356792,"7am-5pm: $3 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $4 per entry","$4 per entry","Same as Saturday","-"
"Elizabeth Hotel","24 Mount Elizabeth, Singapore 228518",1.3082343,103.8356792,"7am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Four Seasons Hotel","190 Orchard Blvd, Singapore 248646",1.305122,103.828806,"6am-5pm: $6 for 1st hr; $3 for sub. ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Four Seasons Hotel","190 Orchard Blvd, Singapore 248646",1.305122,103.828806,"6am-5pm: $6 for 1st hr; $3 for sub. ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Goodwood Park Hotel","22 Scotts Rd, Singapore 228221",1.3084529,103.8345499,"8am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Goodwood Park Hotel","22 Scotts Rd, Singapore 228221",1.3084529,103.8345499,"8am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Grand Copthorne Waterfront Hotel","392 Havelock Rd, Singapore 169663",1.2902491,103.8351346,"7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr","Aft 5pm: $4.28 per entry","Same as wkdays","$4.28 per entry","-"
"Grand Copthorne Waterfront Hotel","392 Havelock Rd, Singapore 169663",1.2902491,103.8351346,"7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr","Aft 5pm: $4.28 per entry","Same as wkdays","$4.28 per entry","-"
"Grand Hyatt Hotel","10 Scotts Road, Singapore 228211",1.3064961,103.8330143,"4am-4.59pm: $3.21 for 1st hr; $1.07 for sub. ½ hr","Aft 5pm: $5.35 per entry","Same as wkdays","4am-3.59am: $5.35 per entry","-"
"Grand Mercure Roxy Hotel","50 East Coast Road, Roxy Square, Singapore 428769",1.303397,103.9046199,"Daily: $1.60 per hr","-","-","-","-"
"Grand Pacific Hotel (Formerly Allson Hotel)","101 Victoria St, Singapore 188018",1.2974019,103.8525602,"7am-5pm: $1.32 per ½ hr","Aft 5pm: $3.57 per entry","Same as wkdays","$3.57 per entry","-"
"Grand Pacific Hotel (Formerly Allson Hotel)","101 Victoria St, Singapore 188018",1.2974019,103.8525602,"7am-5pm: $1.32 per ½ hr","Aft 5pm: $3.57 per entry","Same as wkdays","$3.57 per entry","-"
"Grand Park City Hall Hotel","10 Coleman St, Singapore 179809",1.2925284,103.8500923,"7am-5pm: $3.28 for 1st hr; $1.55 for sub. ½ hr","Aft 5pm: $5.35 per entry","Same as wkdays","Same as wkdays","-"
"Grand Park Orchard","270 Orchard Rd, Singapore 238857",1.3030672,103.8360734,"8am-5pm: $3.50 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $5 per entry","Same as wkdays","Same as wkdays","-"
"Grand Park Orchard","270 Orchard Rd, Singapore 238857",1.3030672,103.8360734,"8am-5pm: $3.50 for 1st hr; $1.50 for sub. ½ hr","Aft 5pm: $5 per entry","Same as wkdays","Same as wkdays","-"
"Hilton Hotel","581 Orchard Rd, Singapore 238883",1.305891,103.82942,"8am-6pm: $7 for 1st hr","Aft 6pm: $7 per entry","Same as wkdays","$7 per entry","-"
"Hilton Hotel","581 Orchard Rd, Singapore 238883",1.305891,103.82942,"$7 per hr.","Aft 6pm: $7 per entry","Same as wkdays","Same as wkdays","-"
"Holiday Inn Atrium","317 Outram Rd, Singapore 169075",1.288878,103.834491,"7am-5pm: $1.80 per hr","Aft 5pm: $3.60 per entry","Same as wkdays","$3.60 per entry","-"
